State,Year,Energy_type,Generation_MU,Capacity_MW,Potential_MW,Avg_Generation_MW,CUF,Potential_Capacity_Gap_MW,Generation_Potential_Utilization
Delhi,2013,Solar,0.74,2.56,0.00,0.08390410959,0.03282633396,-2.56,0.00%
Delhi,2012,Solar,0.73,2.53,0.00,0.08299086758,0.03280271446,-2.53,0.00%
Uttarakhand,2012,Solar,0.72,5.05,0.00,0.08219178082,0.01627560016,-5.05,0.00%
Uttarakhand,2013,Solar,0.72,5.05,0.00,0.08219178082,0.01627560016,-5.05,0.00%
Uttarakhand,2014,Solar,0.72,5.05,0.00,0.08219178082,0.01627560016,-5.05,0.00%
Uttarakhand,2015,Solar,0.71,5.00,"16,800.00",0.08139269406,0.01627853881,"16,795.00",0.00%
Lakshadweep,2020,Solar,0.66,0.75,0.00,0.075,0.1,-0.75,0.00%
Arunachal Pradesh,2020,Small Hydro,0.64,131.11,"2,065.00",0.07260273973,0.0005537755213,"1,933.90",0.00%
Delhi,2011,Solar,0.62,2.14,0.00,0.07020547945,0.03280629881,-2.14,0.00%
Gujarat,2008,Waste,0.59,0.50,0.00,0.06723744292,0.1344748858,-0.50,0.00%
Gujarat,2009,Waste,0.59,0.50,0.00,0.06723744292,0.1344748858,-0.50,0.00%
Arunachal Pradesh,2019,Small Hydro,0.55,131.11,"1,341.00",0.06267123288,0.0004780232095,"1,209.90",0.00%
Kerala,2012,Solar,0.48,0.84,0.00,0.05422374429,0.06455207654,-0.84,0.00%
Arunachal Pradesh,2018,Small Hydro,0.47,104.61,"2,065.00",0.05365296804,0.0005128856518,"1,960.39",0.00%
Mizoram,2020,Solar,0.44,1.52,"9,090.00",0.05057077626,0.03327024754,"9,088.48",0.00%
Puducherry,2017,Solar,0.34,0.08,0.00,0.03881278539,0.4851598174,-0.08,0.00%
Uttar Pradesh,2008,Solar,0.33,0.38,0.00,0.03789954338,0.09973564047,-0.38,0.00%
Uttar Pradesh,2009,Solar,0.33,0.38,0.00,0.03789954338,0.09973564047,-0.38,0.00%
Uttar Pradesh,2010,Solar,0.33,0.38,0.00,0.03789954338,0.09973564047,-0.38,0.00%
Uttar Pradesh,2011,Solar,0.33,0.38,0.00,0.03789954338,0.09973564047,-0.38,0.00%
Maharashtra,2014,Waste,0.30,12.72,0.00,0.03470319635,0.002728238707,-12.72,0.00%
Maharashtra,2015,Waste,0.30,12.72,287.00,0.03470319635,0.002728238707,274.28,0.01%
